,lattitude,longitude,city,country,max_temperature,humidity,wind_speed,cloud_percentage
231,1.8267656588264507,-7.704770031636514,harper,lr,78.67,85,11.12,100
232,4.778427579961325,-106.91493272935833,ixtapa,mx,87.8,45,12.75,5
233,4.891002678973855,170.4742833604392,butaritari,ki,79.92,70,13.58,0
234,3.034943318249776,-71.52347865030885,mapiripan,co,81.34,84,5.08,92
235,0.17131984777464637,29.379480433790718,butembo,cd,59.63,97,2.93,60
236,2.5191368106453393,143.00232157327503,vanimo,pg,77.56,79,4.56,100
237,7.645153531994534,4.581117752824525,oshogbo,ng,75.67,90,2.46,97
238,7.328780334531597,-122.75956913097141,cabo san lucas,mx,91.4,55,10.29,5
239,8.93563461384441,57.3063228286305,bandarbeyla,so,77.95,85,11.97,46
240,8.358747373919524,146.72581736904897,lorengau,pg,78.75,82,8.99,92
241,5.65078965833067,-41.26420281773164,cururupu,br,89.47,52,7.09,98
242,5.276545867869037,-124.28186783863124,atuona,pf,78.17,76,23.24,4
243,9.599000482655697,-16.107826729454246,bubaque,gw,81.99,77,11.45,28
244,7.308964265751678,-72.18048491259404,toledo,co,93.2,38,20.8,40
245,9.61327579100967,42.267369622282786,harer,et,66.56,60,4.18,68
246,8.874296185733801,-30.58628096641806,sao filipe,cv,82.54,70,10.96,73
247,8.602138964727754,101.79276081317943,pak phanang,th,80.38,79,8.3,100
248,9.51739383304013,129.35704105345428,bacolod,ph,79.16,81,3.56,87
249,9.23790839631456,171.69909930820313,butaritari,ki,79.92,70,13.58,0
250,5.9902541160000204,104.63853179076585,marang,my,78.8,88,1.12,20
251,5.844980708284529,42.401201864672544,mandera,ke,91.02,37,9.86,66
252,5.5489219949540765,164.4168561504037,butaritari,ki,79.92,70,13.58,0
253,5.805248422268655,-154.67172643174317,hilo,us,73.99,88,8.32,75
254,5.121731976871386,-51.518780670263084,cayenne,gf,87.8,62,2.24,75
255,5.5288220977498845,-7.510196977528835,zwedru,lr,77.79,81,5.19,99
256,14.12125023365052,-0.8352801490241859,gorom-gorom,bf,97.07,29,11.52,16
257,12.987318633598605,39.546738552055444,korem,et,60.66,71,3.98,45
258,12.918252677091736,-154.92564945537063,hilo,us,73.99,88,8.32,75
259,12.59770443877131,-151.52915044822296,hilo,us,73.99,88,8.32,75
260,10.132439023111278,-49.80444230609214,sinnamary,gf,86.77,62,8.55,38
261,12.643685285689504,159.41472820462337,butaritari,ki,79.92,70,13.58,0
262,10.011259336888294,-82.77225022387395,limon,cr,82.4,78,2.24,75
263,11.911219548147326,-164.53476786582584,kapaa,us,73.4,88,9.17,1
264,13.204664258689194,-133.26263945262707,hilo,us,73.99,88,8.32,75
265,11.156382982278803,-25.670643249144575,sao filipe,cv,82.54,70,10.96,73
266,13.520462949417254,97.11534541513231,dawei,mm,77.74,88,3.02,100
267,12.248448836842485,88.21026154479466,port blair,in,81.66,84,11.7,87
268,13.440522214850837,150.1811257574197,lorengau,pg,78.75,82,8.99,92
269,14.639267170102325,-19.46454606394832,dakar,sn,91.4,59,13.87,11
270,12.581972362775469,87.24649520443654,port blair,in,81.66,84,11.7,87
271,10.004171828664997,-37.00201755622345,itarema,br,87.1,53,22.03,92
272,10.93189663072665,-46.01987957497033,cayenne,gf,87.8,62,2.24,75
273,10.66049919775168,-144.99220738249215,hilo,us,73.99,88,8.32,75
274,10.88976967005923,10.144081532287402,duku,ng,79.79,85,3.8,89
275,16.313465941947303,-28.135983548133993,porto novo,cv,86.0,62,29.97,20
276,15.40665976046116,-102.12957150881752,petatlan,mx,91.4,59,11.41,5
277,18.241104137950057,-179.8875629948984,kapaa,us,73.4,88,9.17,1
278,15.619738552416974,-75.1124232729464,morant bay,jm,87.8,70,19.46,75
279,16.162379882470088,14.618121732412106,mao,td,95.14,32,10.18,23
280,19.37033641181943,96.29285989793397,pyinmana,mm,76.33,88,3.38,45
281,17.31538200428819,-118.13629708395807,cabo san lucas,mx,91.4,55,10.29,5
282,17.129762927323853,-22.92627644296931,santa maria,cv,84.2,66,21.92,40
283,15.165441536268775,-47.80543863540723,sinnamary,gf,86.77,62,8.55,38
284,16.85478401773163,155.6105797552928,kavieng,pg,80.51,78,6.4,99
285,18.989937123326644,71.65198807898548,bombay,in,84.2,89,4.7,40
286,17.741947752550317,-172.1015849880522,kapaa,us,73.4,88,9.17,1
287,17.635451407676243,-108.12860992625164,tomatlan,mx,90.99,33,1.5,0
288,17.303148923746313,-43.053140743306415,cayenne,gf,87.8,62,2.24,75
289,21.642434123894883,6.505692380396738,arlit,ne,98.78,19,6.31,79
290,23.654312023520472,-21.11607615403568,nouadhibou,mr,77.0,61,21.92,0
291,20.17240337328579,-64.31378628809694,road town,vg,86.0,74,12.75,40
292,24.014961011416105,161.78077959916368,butaritari,ki,79.92,70,13.58,0
293,20.04154634867676,172.62332972297048,butaritari,ki,79.92,70,13.58,0
294,22.348281975865792,86.52976330104383,mushabani,in,76.93,91,1.74,85
295,21.197892879341346,-46.78927147537834,bathsheba,bb,87.8,66,16.11,20
296,22.214777306151515,94.25125659787722,monywa,mm,81.37,76,4.0,86
297,24.776820926663106,-161.62182740789135,kapaa,us,73.4,88,9.17,1
298,22.111217297909544,130.65390411465722,nishihara,jp,80.6,65,6.93,20
